SMILES,pKa_accepted,SMARTS pKa,SPARC,MARVIN,ACD,ADME Boxes,Consensus
BrC(C(O)=O)CBr,2.33,2.5899999,2.19,3.53,2.3,2.4,2.296666667
BrC(S(=O)(=O)N)(F)F,6.53,7.1300001,5.74,6.93,7.2,,7.0866667
BrC=1C=C(Br)C=CC(=O)C=1O,5.18,5.75,4.8,4.8,4.33,4.9,4.833333333
BrCC[NH3+],8.65,8.7199993,8.46,8.62,7.75,8.8,8.7133331
BrNC(=O)C(Cl)Cl,4.68,4.1549997,3.06,4.52,5.48,,4.718333233
Brc1cc(C=O)c(O)c([N+](=O)[O-])c1,4.46,4.52,4.23,4.81,4.23,4.5,4.32
Brc1cc(O)cc(Br)c1,8.06,8.0795555,8.18,8.22,8.04,8.1,8.073185167
Brc1cc([N+](=O)[O-])c(O)cc1,6.36,6.4833336,6.45,5.98,6.28,6.5,6.477777867
Brc1cc[nH+]cc1,3.71,3.8533332,4.03,4.01,3.7,3.8,3.7844444
ClC#CC(O)=O,1.87,1.9096251,3.65,1.01,1.92,1.9,1.909875033
ClC(=CC(O)=O)C,4.02,3.9299998,3.81,3.85,4.08,3.5,3.863333267
ClC(Cl)(Cl)C(=O)c1ccccc1C(O)=O,4.99,4.8633332,3.94,4,2.68,3.6,3.846666667
ClC(Cl)(Cl)C(O)c1ccc(OC)cc1,12.12,12.155,11.03,11.99,11.99,,12.045
ClCCO,14.3,13.306666,14.27,14.98,14.02,,14.42333333
ClC[Si](CCCC(O)=O)(C)C,4.97,4.9666667,,4.41,4.83,4.9,4.8988889
Clc1c(OS(=O)(=O)\C=C\c2ccc(O)cc2)c(Cl)c(Cl)c(Cl)c1Cl,7.64,7.6873751,8.35,9.3,9.34,9.5,9.38
Clc1c2c(cccc2)c([NH3+])cc1,3.41,3.4425001,3.69,3.27,3.4,3.3,3.323333333
Clc1cc(C)c(OCC(O)=O)cc1,3.11,3.0766666,3.63,3.36,3.14,3.1,3.105555533
Clc1cc(Cl)ccc1OCC(O)=O,2.77,2.8,3.57,2.81,2.98,3.1,2.96
Clc1cc([NH3+])c(cc1)C,3.85,3.3199999,3.44,3.25,3.39,3.6,3.3833333
Clc1cc(cc([N+](=O)[O-])c1)C(O)=O,3.13,2.9100001,2.78,3.51,3.11,2.9,2.93
Clc1cc2CCC(O)=Cc2cc1[N+](=O)[O-],8.56,8.503334,8.65,8.2,9.36,,8.451111333
Clc1ccc(OC(C(O)=O)C)cc1,3.26,3.9400001,3.65,3.27,3.14,3.1,3.17
Clc1ccc(cc1)CCC(O)=O,4.63,4.5968332,4.55,4.02,4.6,4.6,4.5989444
Clc1ccc(cc1)CO[NH3+],4.22,4.2666664,4.14,4.01,4.04,4.7,4.063333333
Clc1ccc(cc1[N+](=O)[O-])C(O)=O,3.33,3.3133333,2.94,3.75,3.35,3.4,3.5
Clc1cccc(Cl)c1C(O)=O,1.74,1.8466667,2.2,2.06,1.69,2,1.9688889
Clc1scc(c1)C(O)=O,3.8,3.7925,3.3,3.53,0.38,3.4,3.4975
FC(C[NH+](C)C)C(F)(F)F,6.6,7.0500002,7.21,6.36,7.39,6.5,6.636666733
FC(C[NH3+])C(F)(F)F,7.1,7.1333332,7.42,8.62,4.87,7,7.1844444
FC(F)(CO)C(F)F,12.15,11.292222,12.46,13.03,13.05,,12.45740733
FC(F)(F)Oc1ccc(cc1)CC(O)=O,5.44,5.4000001,4.48,3.62,4.1,4.3,4.293333333
FC(F)(F)c1ccc([NH+](C)C)cc1,2.67,3.3900001,3.21,4.42,2.88,2.6,2.9566667
Fc1c(O)c(F)c(F)c(F)c1F,5.38,5.2111111,5.34,5.77,5.5,5,5.1837037
Fc1cc(O)ccc1,9.28,9.1149998,9.19,8.57,8.97,9.1,9.134999933
IC(S(=O)(=O)N)(F)F,6.79,7.1300001,5.76,6.98,7.26,,7.123333367
Ic1[nH+]cccc1,1.82,0.73750001,1.24,1.65,1.84,1.8,1.763333333
Ic1ccc(cc1)C(O)=O,3.93,4.0374999,3.74,4.05,4.02,3.9,4.0358333
Ic1ccccc1OCC(O)=O,3.17,3.1533334,3.63,3.17,3.07,3.1,3.141111133
O(C#CC(O)=O)c1ccccc1,3.09,2.0699999,4.45,2.27,3.53,3.2,2.5133333
O(C(=O)C(C)=C)CCC[NH3+],9.62,9.6000004,9.52,10.14,9.09,10.6,9.403333467
O(C(=O)C)CC[NH+](C)C,8.35,8.335,8.47,8.42,8.56,8.4,8.43
O(C(=O)C12CC(C1)(C2)C(O)=O)C,3.51,3.8150001,4.67,3.96,4.5,4.9,4.69
O(C(=O)C=C(O)C)CC,9.51,9.4944439,7.52,7.71,8.34,10.6,8.2414813
O(C(=O)C=C(O)c1ccc[n+](c1)C)C,5.73,8.3999996,4.82,3.04,8.34,7.5,8.079999867
O(C(=O)C[NH3+])C,7.63,8.1750002,7.76,7.09,7.4,7.4,7.6583334
O(C(=O)c1cc(C)c(O)cc1)c1ccc([N+](=O)[O-])cc1[N+](=O)[O-],7.89,7.8333335,7.96,8.06,7.74,8.5,7.92
O(C(=O)c1cc([NH3+])ccc1)C,3.59,2.8377779,3.53,2.85,3.45,3.4,3.46
O(C(=O)c1ccc([NH3+])cc1)CC,2.46,2.8377779,2.39,2.78,2.51,2.4,2.433333333
O(C(=O)c1ccc(cc1)CO[NH3+])CC,4.11,4.2550001,4.01,3.96,3.9,4.7,3.956666667
O(C(=[NH2+])CCC)CC,7.08,7.1149998,7.92,7.43,8.35,5.8,7.488333267
O(C)c1c(OC)cc(cc1OC)\C=C\C(=O)C=1C=CC(=O)C(O)=CC=1,4.85,6.103333,4.93,6.56,4.5,7.1,6.587777667
O(C)c1cc(OC)cc(O)c1,9.35,9.3575001,9.43,8.86,9.21,9,9.332500033
O(C)c1cc([N+](=O)[O-])c(O)cc1,7.31,7.0249996,7.36,6.84,7.33,7.3,7.33
O(C)c1cc([NH3+])cc(OC)c1,3.86,4.0149999,4.05,3.51,3.75,3.3,3.9383333
O(C)c1cc(ccc1)C=CC(O)=O,4.38,4.3780003,4.21,4.32,3.82,4.2,4.243333333
O(C)c1cc(ccc1OC)C(=O)C(O)=O,1.79,3.1849999,3.91,2.35,2.04,1.2,2.524999967
O(C)c1cc(ccc1OC)C[NH3+],9.39,9.6300001,9.77,9.42,9.44,9,9.4966667
O(CC(O)=O)CC,3.62,3.3,3.75,4.04,3.55,3.8,3.616666667
O(CC)c1cc(OCC)cc(O)c1,9.37,9.3575001,9.42,8.85,9.29,9,9.355833367
O(CC)c1ccc([NH3+])cc1,5.25,5.0166669,4.99,5.13,5.26,5.4,5.263333333
O(CC1[NH+]2CCC(C1)CC2)C(=O)C,9.88,9.5750008,9.01,8.92,9.88,8.4,8.776666667
O(CCC(C)C)c1ccccc1\C=C\C(O)=O,4.85,4.6149998,4.46,3.55,3.89,4.2,4.424999933
O(CCC)c1ccccc1C(O)=O,4.24,3.9952776,3.97,3.72,3.47,3.8,3.83
O(CC[NH2+]c1ccc(cc1)C)C,4.64,4.6199999,4.57,4.66,4.93,4.3,4.616666633
O(Cc1ccc(cc1)C(O)=O)C,4.18,3.96,4.06,4.06,4.19,4.1,4.026666667
O(Cc1ccccc1)c1ccc(cc1)C(O)=O,4.44,4.4699998,4.31,4.36,4.46,4.4,4.443333267
O(c1ccccc1)c1ccc[nH+]c1,4.24,4.2666664,3.27,4.61,3.96,3.9,3.812222133
O1C(C)=C(C(=O)c2ccccc2)C(O)=CC1=O,3.83,3.9400001,6.19,4.93,4.2,3.8,3.980000033
O1C=C(C=CC1=O)C(O)=O,3.26,3.1866667,3.88,2.94,2.8,3.3,3.142222233
O1CC[NH+](CC1)C(CC(c1ccccc1)c1ccccc1)C,6.9,7.7466669,7.02,7.93,7.95,7.4,7.76
O1Cc2[nH+]c(COCCOCCOCCOCCOCCOCCOCC1)ccc2,3.7,4.0757141,4.74,2.46,3.12,5.1,4.638571367
O1Cc2cccc(COCCOCCOCCOCCOCCOCC1)c2C(O)=O,4.06,4.3337498,3.61,3.35,3.57,4.1,3.51
O1c2c(cc3CCCCc3c2)C(=O)C=C1C(O)=O,1.75,1.8099999,3.39,2.59,2.44,1.6,2.279999967
O=C(C)c1ccccc1[NH3+],2.31,2.3025,2.18,2.56,2.31,2.4,2.296666667
O=C(\C=C(/O)\C)CC(C)C,9.19,8.79,7.86,8.89,8.34,9.3,8.993333333
O=C1[C@@]2(CC[C@H](C1C(O)=O)C2(C)C)C,3.76,3.7735567,5.01,4.38,3.57,3.7,3.681185567
