#node,#parent,children,FP,SMARTS,Y/N,pKa_cal,pKa_range
1,0,1,0,,100,5.9131093,17.32
2,1,1,1001,[#G6H]C(=O),1,3.6849957,5.9569998
3,1,1,1001,[#G6H]C(=O),0,7.206913,17.32
4,2,1,1002,[OH][i](=O)*(~*)~*,1,3.5348868,5.8769999
5,2,1,1002,[OH][i](=O)*(~*)~*,0,3.8580179,4.7600002
6,3,1,1003,[N+][#6!a],1,8.0126829,12.95
7,3,1,1003,[N+][#6!a],0,6.6583519,17.32
8,4,1,1004,a[#X],1,3.3259532,3.9880004
9,4,1,1004,a[#X],0,3.6821997,5.8769999
10,5,1,1005,[i]A[#X],1,3.5034473,4.7600002
11,5,1,1005,[i]A[#X],0,4.3926439,2.9300001
12,6,1,1006,[#7]~[v4],1,6.0435925,12.95
13,6,1,1006,[#7]~[v4],0,8.8268824,10.469999
14,7,1,1007,[#G6;H][i],1,7.2914996,12.400001
15,7,1,1007,[#G6;H][i],0,6.0733781,17.32
16,8,1,1008,*~*~*~*~*~*~*~*~*,1,3.1727123,3.9880004
17,8,1,1008,*~*~*~*~*~*~*~*~*,0,3.6324346,1.8
18,9,1,1005,[i]A[#X],1,3.265425,5.8569999
19,9,1,1005,[i]A[#X],0,4.4712934,2.6500001
20,10,1,1009,[!#G4!H0]~*~*[!#G4],1,3.146276,2.7900002
21,10,1,1009,[!#G4!H0]~*~*[!#G4],0,3.8155389,4.7600002
22,11,1,1010,[r6],1,4.396791,2.9300001
23,11,1,1010,[r6],0,4.3898973,2.0599999
24,12,1,1011,[av3]a([+])[av3],1,4.7069025,8.0500002
25,12,1,1011,[av3]a([+])[av3],0,7.1868138,12.95
26,13,1,1010,[r6],1,8.7954359,7.3299999
27,13,1,1010,[r6],0,8.860033,10.469999
28,14,1,1012,[OH][i]~[i](~*)~*,1,6.7207484,12.400001
29,14,1,1012,[OH][i]~[i](~*)~*,0,8.0319338,9.6499996
30,15,1,1013,[#7!H0;+1],1,4.1262364,11.04
31,15,1,1013,[#7!H0;+1],0,9.8586216,15.45
32,16,1,1014,[i][#G6v2],1,3.6427341,2.9200003
33,16,1,1014,[i][#G6v2],0,2.6838901,3.8780003
34,17,1,1015,[i][#G7],1,3.6454167,1.0799999
35,17,1,1015,[i][#G7],0,3.6240592,1.8
36,18,1,1016,[#X]AA[#X],1,2.56425,5.8569999
37,18,1,1016,[#X]AA[#X],0,3.7220039,4.1799998
38,19,1,1017,[i;!r][r],1,4.4238501,2.6500001
39,19,1,1017,[i;!r][r],0,4.5661802,1.6700001
40,20,1,1014,[i][#G6v2],1,3.3222473,1.7
41,20,1,1014,[i][#G6v2],0,2.7566249,2.7900002
42,21,1,1017,[i;!r][r],1,4.066709,2.6003332
43,21,1,1017,[i;!r][r],0,3.5691986,4.7600002
44,22,1,1018,a-a,1,4.2988214,0.6619997
45,22,1,1018,a-a,0,4.4338603,2.9300001
46,23,1,1019,*~*~*~*~*~*~*~*,1,4.4518595,1.8299999
47,23,1,1019,*~*~*~*~*~*~*~*,0,4.3458352,2.0100002
48,24,1,1020,[#G6;H0],1,4.1877918,6.053
49,24,1,1020,[#G6;H0],0,5.0107722,8.0500002
50,25,1,1021,[i][A+],1,5.9317083,12.95
51,25,1,1021,[i][A+],0,8.5813751,7.3499994
52,26,1,1022,a[!#N],1,8.6009254,4.7900004
53,26,1,1022,a[!#N],0,9.1878099,7.3299999
54,27,1,1023,[#X;!#7],1,8.1421814,10.469999
55,27,1,1023,[#X;!#7],0,10.308788,3.4900002
56,28,1,1024,[O][i]~[i]~[i]~[i]~[i]~[i]~[i]~[A],1,5.9926453,10.271
57,28,1,1024,[O][i]~[i]~[i]~[i]~[i]~[i]~[i]~[A],0,7.4191327,12.400001
58,29,1,1025,[OH][i]~[i]~[i]~[i]-*,1,8.5852175,5.0780001
59,29,1,1025,[OH][i]~[i]~[i]~[i]-*,0,7.363039,9.6499996
60,30,1,1026,[CH3],1,4.6346602,7.8200002
61,30,1,1026,[CH3],0,3.5315626,10.94
